2023-11-15 22:19:50.1786|Microsoft.AspNetCore.Server.Kestrel.Connections|DEBUG|Connection id "0HMV5SNMN2ISV" accepted. 
2023-11-15 22:19:50.1786|Microsoft.AspNetCore.Server.Kestrel.Connections|DEBUG|Connection id "0HMV5SNMN2ISV" started. 
2023-11-15 22:19:50.2260|Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware|DEBUG|Connection 0HMV5SNMN2ISV established using the following protocol: Tls12 
2023-11-15 22:19:50.2481|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2023-11-15 22:19:50.2505|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2023-11-15 22:19:50.2505|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2023-11-15 22:19:50.2505|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2023-11-15 22:19:50.2505|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2023-11-15 22:19:50.2505|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" received HEADERS frame for stream ID 1 with length 458 and flags END_STREAM, END_HEADERS, PRIORITY. 
2023-11-15 22:19:50.2722|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
